source,target,weight
LD.Ptepar_usersample,H19Fr.735936,0.95849411367091797
LD.Ptepar_usersample,belly.U.T4.4.536617,0.95858804969070632
LD.Ptepar_usersample,244.664634,0.95869014621149051
LD.Ptepar_usersample,BD.NBS1052.710927,0.95903453207308387
LD.Ptepar_usersample,SKB8.640193,0.95906906546953552
LD.Ptepar_usersample,H22Tv.735985,0.95943025489607969
LD.Ptepar_usersample,H43Fr.736000,0.9597175846212751
LD.Ptepar_usersample,H59Di.736039,0.96024782509556095
LD.Ptepar_usersample,outsidemouthT5.U2.536511,0.96048187379601513
LD.Ptepar_usersample,H45Tv.736004,0.96066444806243478
LD.Ptepar_usersample,SKB9.640200,0.96180126148192746
LD.Ptepar_usersample,Ab.swab.T7.U5.536317,0.96257913597430234
LD.Ptepar_usersample,H19Di.735897,0.96274368407428201
LD.Ptepar_usersample,H43Di.735941,0.96280482013159541
LD.Ptepar_usersample,BD.ERD502.710978,0.96283754859501436
LD.Ptepar_usersample,H41Di.736046,0.96288527959725578
LD.Ptepar_usersample,saline9.20.481253,0.96301433194500285
LD.Ptepar_usersample,Ab.liq.T2.U3.536450,0.96340890548138547
LD.Ptepar_usersample,LD.NBS1069E.710937,0.96483507435162641
LD.Ptepar_usersample,H61Tv.736009,0.96507562864753393
LD.Ptepar_usersample,H55Di.736023,0.96636130085296723
LD.Ptepar_usersample,H25Cb.735948,0.96768101238518955
LD.Ptepar_usersample,H22Pc.736019,0.96789121820560897
LD.Ptepar_usersample,H23Do.736050,0.97033682063788151
LD.Ptepar_usersample,H43Tv.735924,0.97049192073584911
LD.Ptepar_usersample,H47Tv.735960,0.97051345006282108
LD.Ptepar_usersample,LD.Stulil2.710922,0.9715621183446832
LD.Ptepar_usersample,H22Kc.735911,0.97358624220207135
LD.Ptepar_usersample,H41Dh.736012,0.97459153020426958
LD.Ptepar_usersample,LD.Carsow1.710949,0.97515897266519624
LD.Ptepar_usersample,H45Cb.735913,0.9752373191500463
LD.Ptepar_usersample,Starratt.Rightpalm.983853,0.97531278158720125
